Field Name ,Latitude ,Longitude 
Aker 10,38.098219,-88.351846
Aker 30,38.100585,-88.363642
Aydt 40,38.200483,-88.572097
Baird 40,37.875921,-88.496600
Bankston ,38.318813,-88.472722
Barbee ,38.264594,-88.682061
Beagle ,38.025636,-88.468262
Bennett 20,38.232469,-88.593949
Bennett 80,38.221609,-88.597485
Boarman 01 ,38.226558,-88.508334
Boarman 02,38.226132,-88.505079
Boarman 03,38.225734,-88.502487
Boarman 04,38.224178,-88.500184
Boarman 05,38.223933,-88.497757
Boarman 06,38.223701,-88.495154
Boarman 07,38.223461,-88.492325
Boarman 08,38.223219,-88.489981
Boarman 09,38.222971,-88.487593
Boarman 10,38.222718,-88.484283
Boarman 11,38.218677,-88.480602
Boarman 12,38.218080,-88.477346
Boarman 13,38.217439,-88.474006
Boarman 14,38.216763,-88.470547
Boarman 15,38.216099,-88.466812
Boarman 16,38.214958,-88.456671
Boarman 17,38.213973,-88.460461
Boarman 18 19 ,38.229815,-88.487218
Boarman 20 ,38.215551,-88.487145
Boarman 21,38.215583,-88.493742
Boarman 22,38.215635,-88.497223
Boarman 23,38.215765,-88.500516
Boarman 24,38.217260,-88.504337
Boarman 25,38.243030,-88.523055
Boarman AB ,38.224622,-88.517259
Boarman C ,38.224524,-88.512752
Bonan MCL ,38.092898,-88.559570
Brake 60 ,38.243570,-88.602018
Buchanan East 80 ,37.852719,-88.464247
Buchanan Highway ,37.879707,-88.450657
Buchanan Hill 40,37.879650,-88.501226
Buchanan West 80 ,37.852401,-88.468897
Burnett 40 ,37.901249,-88.520347
Campbell 1 ,38.228870,-88.604582
Campbell 2,38.227120,-88.608128
Campbell 3 ,38.223381,-88.608833
Campbell Woods ,38.211540,-88.622622
Carter 1 2 5 6 ,37.874248,-88.462210
Carter 120 ,37.865132,-88.464369
Carter 160 NE ,37.861539,-88.459718
Carter 160 NW ,37.861530,-88.464330
Carter 160 SE ,37.857976,-88.459706
Carter 160 SW ,37.857917,-88.464286
Carter 3 4 ,37.868827,-88.462161
Carter 7,37.868753,-88.473569
Carter 8,37.874162,-88.473609
Carter 9 ,37.875919,-88.478248
Carter House ,37.871372,-88.453472
Cheryl Downen House ,38.240041,-88.453304
Conquest ,38.087439,-88.553757
Cox 20 ,38.232560,-88.606360
Cox 27 ,38.232486,-88.603432
Cox 60 ,38.243612,-88.596848
Cox 80 ,38.236247,-88.597304
Culpepper 1 2 ,37.982568,-88.630649
Culpepper 3 ,37.983665,-88.625278
Culpepper 40,37.978567,-88.579458
Culpepper Middle ,37.983804,-88.611725
Culpepper Pasture ,37.985682,-88.629843
Degenhart 30 ,38.210702,-88.602802
Devoy House ,37.836359,-88.486687
Devoy Old House ,38.015179,-88.505981
Dickey ,38.057504,-88.352182
Dolan 2 ,38.087853,-88.353572
Dolan 3,38.084978,-88.354030
Dolan 4,38.085575,-88.352088
Dolan 5,38.084528,-88.348556
Dolan 6,38.087667,-88.349369
Dozier 1 ,38.250293,-88.391635
Dozier 2,38.245710,-88.391032
Dozier 3,38.232833,-88.400278
Dozier 4,38.231148,-88.393186
Dozier 50,38.228297,-88.411799
Dunn 80 ,38.067360,-88.351052
